"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"131","National","National",2000,13,0.892334,0.823722,282,NA,206,320,NA,29,837,320,101612,2000-03-26
"132","National","National",2000,14,0.929201,0.725443,186,NA,171,286,NA,23,666,295,91806,2000-04-02
"133","National","National",2000,15,0.655592,0.579775,178,NA,127,196,NA,21,522,289,90035,2000-04-09
"134","National","National",2000,16,0.607002,0.451177,107,NA,96,120,NA,24,347,280,76910,2000-04-16
"135","National","National",2000,17,0.600003,0.438685,112,NA,80,141,NA,14,347,274,79100,2000-04-23
"136","National","National",2000,18,0.547247,0.440517,93,NA,77,147,NA,7,324,257,73550,2000-04-30
"137","National","National",2000,19,0.476417,0.351667,67,NA,77,85,NA,10,239,248,67962,2000-05-07
"138","National","National",2000,20,0.445917,0.36646,79,NA,64,65,NA,11,219,233,59761,2000-05-14
"139","National","National",2000,21,0,0,0,0,0,0,0,0,0,0,0,2000-05-21
"140","National","National",2000,22,0,0,0,0,0,0,0,0,0,0,0,2000-05-28
"141","National","National",2000,23,0,0,0,0,0,0,0,0,0,0,0,2000-06-04
"142","National","National",2000,24,0,0,0,0,0,0,0,0,0,0,0,2000-06-11
"143","National","National",2000,25,0,0,0,0,0,0,0,0,0,0,0,2000-06-18
"144","National","National",2000,26,0,0,0,0,0,0,0,0,0,0,0,2000-06-25
"145","National","National",2000,27,0,0,0,0,0,0,0,0,0,0,0,2000-07-02
"146","National","National",2000,28,0,0,0,0,0,0,0,0,0,0,0,2000-07-09
"147","National","National",2000,29,0,0,0,0,0,0,0,0,0,0,0,2000-07-16
"148","National","National",2000,30,0,0,0,0,0,0,0,0,0,0,0,2000-07-23
"149","National","National",2000,31,0,0,0,0,0,0,0,0,0,0,0,2000-07-30
"150","National","National",2000,32,0,0,0,0,0,0,0,0,0,0,0,2000-08-06
"151","National","National",2000,33,0,0,0,0,0,0,0,0,0,0,0,2000-08-13
"152","National","National",2000,34,0,0,0,0,0,0,0,0,0,0,0,2000-08-20
"153","National","National",2000,35,0,0,0,0,0,0,0,0,0,0,0,2000-08-27
"154","National","National",2000,36,0,0,0,0,0,0,0,0,0,0,0,2000-09-03
"155","National","National",2000,37,0,0,0,0,0,0,0,0,0,0,0,2000-09-10
"156","National","National",2000,38,0,0,0,0,0,0,0,0,0,0,0,2000-09-17
"157","National","National",2000,39,0,0,0,0,0,0,0,0,0,0,0,2000-09-24
"158","National","National",2000,40,1.04113,1.22865,206,NA,322,443,NA,70,1041,337,84727,2000-10-01
"159","National","National",2000,41,1.2871,1.05545,270,NA,389,489,NA,86,1234,451,116917,2000-10-08
"160","National","National",2000,42,1.28299,1.15984,390,NA,458,617,NA,96,1561,487,134587,2000-10-15
"161","National","National",2000,43,1.34081,1.22688,411,NA,564,683,NA,123,1781,507,145165,2000-10-22
"162","National","National",2000,44,1.0555,1.24107,465,NA,564,703,NA,138,1870,526,150676,2000-10-29
"163","National","National",2000,45,1.14136,1.4316,564,NA,635,849,NA,181,2229,545,155700,2000-11-05
"164","National","National",2000,46,1.44111,1.49427,572,NA,736,979,NA,162,2449,571,163893,2000-11-12
"165","National","National",2000,47,1.95735,1.84268,704,NA,646,913,NA,154,2417,569,131168,2000-11-19
"166","National","National",2000,48,1.61928,1.59762,673,NA,900,1085,NA,196,2854,581,178641,2000-11-26
"167","National","National",2000,49,1.7844,1.73473,710,NA,916,1232,NA,239,3097,595,178529,2000-12-03
"168","National","National",2000,50,2.34423,2.04538,677,NA,1077,1455,NA,185,3394,600,165935,2000-12-10
"169","National","National",2000,51,2.69528,2.41051,767,NA,1052,1337,NA,205,3361,585,139431,2000-12-17
"170","National","National",2000,52,3.8618,3.38334,1059,NA,1496,1335,NA,262,4152,587,122719,2000-12-24
"171","National","National",2001,1,3.505,3.2288,1049,NA,1855,1571,NA,321,4796,591,148538,2000-12-31
"172","National","National",2001,2,3.43804,3.11951,1081,NA,1722,2423,NA,318,5544,611,177720,2001-01-07
"173","National","National",2001,3,4.3928,3.80424,1395,NA,1806,3223,NA,293,6717,617,176566,2001-01-14
"174","National","National",2001,4,4.21339,4.18681,1542,NA,1991,4057,NA,318,7908,626,188879,2001-01-21
"175","National","National",2001,5,4.35364,3.9865,1329,NA,1958,3705,NA,295,7287,578,182792,2001-01-28
"176","National","National",2001,6,3.69969,3.60607,1370,NA,1731,3017,NA,358,6476,566,179586,2001-02-04
"177","National","National",2001,7,2.81921,2.81015,1059,NA,1393,2126,NA,254,4832,566,171948,2001-02-11
"178","National","National",2001,8,2.55294,2.41561,834,NA,1278,1566,NA,245,3923,540,162402,2001-02-18
"179","National","National",2001,9,1.90167,1.73272,683,NA,752,1008,NA,163,2606,511,150399,2001-02-25
"180","National","National",2001,10,1.68033,1.64319,622,NA,854,934,NA,152,2562,510,155916,2001-03-04
"181","National","National",2001,11,1.6254,1.35803,524,NA,522,762,NA,135,1943,472,143075,2001-03-11
"182","National","National",2001,12,1.45957,1.39027,485,NA,507,751,NA,136,1879,460,135154,2001-03-18
"183","National","National",2001,13,1.32376,1.2237,465,NA,419,575,NA,131,1590,442,129934,2001-03-25
"184","National","National",2001,14,0.920073,1.11908,288,NA,421,421,NA,126,1256,371,112235,2001-04-01
"185","National","National",2001,15,0.779257,0.938967,219,NA,305,344,NA,82,950,349,101175,2001-04-08
"186","National","National",2001,16,0.991303,0.944308,234,NA,344,331,NA,88,997,342,105580,2001-04-15
"187","National","National",2001,17,0.82693,0.742603,198,NA,253,274,NA,46,771,334,103824,2001-04-22
"188","National","National",2001,18,0.588952,0.735456,173,NA,225,265,NA,71,734,322,99802,2001-04-29
"189","National","National",2001,19,0.605586,0.725155,165,NA,196,250,NA,60,671,293,92532,2001-05-06
"190","National","National",2001,20,0.49434,0.670346,94,NA,159,179,NA,38,470,262,70113,2001-05-13
"191","National","National",2001,21,0,0,0,0,0,0,0,0,0,0,0,2001-05-20
"192","National","National",2001,22,0,0,0,0,0,0,0,0,0,0,0,2001-05-27
"193","National","National",2001,23,0,0,0,0,0,0,0,0,0,0,0,2001-06-03
"194","National","National",2001,24,0,0,0,0,0,0,0,0,0,0,0,2001-06-10
"195","National","National",2001,25,0,0,0,0,0,0,0,0,0,0,0,2001-06-17
"196","National","National",2001,26,0,0,0,0,0,0,0,0,0,0,0,2001-06-24
